SKU,Main product,Name,Lu01 group,vis group,diff primary,diff sec,Produktfamilie,Category,Type
3225541,JUNO COB,Juno COB LED IP65 8W Hvit,,,,,Juno,Downlight,Product
3224949,Juno COB Rehab,Juno COB Rehab Børstet Stål,,,,,Juno,Downlight,Product
3224947,Juno COB Rehab,Juno COB Rehab Hvit,,,,,Juno,Downlight,Product
3229367,Juno Cob+,Juno Cob+ 10W DALI Børstet Stål,,,,,Juno,Downlight,Product
3229366,Juno Cob+,Juno Cob+ 10W DALI Matt Hvit,,,,,Juno,Downlight,Product
3225327,Juno Cob+ 76,Juno Cob+ 76 LED 8W Børstet Stål,,,,,Juno,Downlight,Product
3225326,Juno Cob+ 76,Juno Cob+ 76 LED 8W Matt Hvit,,,,,Juno,Downlight,Product
3225328,Juno Cob+ 76,Juno Cob+ 76 LED 8W Matt Sort,,,,,Juno,Downlight,Product
3225307,Juno Cob+,Juno Cob+ LED 10W Børstet Stål,,,,,Juno,Downlight,Product
3225306,Juno Cob+,Juno Cob+ LED 10W Matt Hvit,,,,,Juno,Downlight,Product
3225308,Juno Cob+,Juno Cob+ LED 10W Matt Sort,,,,,Juno,Downlight,Product
3109550,Juno Cob+ Outdoor,Juno Cob+ Outdoor LED 10W Matt Hvit,,,,,Juno,Downlight,Product
3109551,Juno Cob+ Outdoor,Juno Cob+ Outdoor LED 10W Matt Sort,,,,,Juno,Downlight,Product
3225303,Juno GyroCOB+,Juno GyroCOB+ 10W Børstet Stål,,,,,Juno,Downlight,Product
3229363,Juno GyroCOB+,Juno GyroCOB+ 10W DALI Børstet Stål,,,,,Juno,Downlight,Product
3229362,Juno GyroCOB+,Juno GyroCOB+ 10W DALI Matt Hvit,,,,,Juno,Downlight,Product
3229336,Juno GyroCOB+,Juno GyroCOB+ 10W WarmDim Børstet Stål,,,,,Juno,Downlight,Product
3109328,JUNO Cob Outdoor,Juno Outdoor COB LED 8W IP44 Grafitt,,,,,Juno,Downlight,Product
3109327,JUNO Cob Outdoor,Juno Outdoor COB LED 8W IP44 Hvit,,,,,Juno,Downlight,Product
3225341,JUNO Safe,"Juno Safe 6,5W SGU10 Børstet Stål",,,,,Juno,Downlight,Product
3225340,JUNO Safe,"Juno Safe 6,5W SGU10 Matt Hvit",,,,,Juno,Downlight,Product
3225346,JUNO Safe+,Juno Safe+ WarmDim LED Børstet Stål 6W SGU10 IP23,,,,,Juno,Downlight,Product
3225345,JUNO Safe+,Juno Safe+ WarmDim LED Matt Hvit 6W SGU10 IP23,,,,,Juno,Downlight,Product
3225510,JUNO Soft Cob,Juno Soft Cob 8W Matt Hvit,,,,,Juno,Downlight,Product
3225512,JUNO Soft Cob,Juno Soft Cob 8W Matt sort,,,,,Juno,Downlight,Product
3229371,Juno Soft Cob+,Juno Soft Cob+ 10W DALI Børstet stål,,,,,Juno,Downlight,Product
3229370,Juno Soft Cob+,Juno Soft Cob+ 10W DALI Matt Hvit,,,,,Juno,Downlight,Product
3229341,Juno Soft Cob+,Juno Soft Cob+ 10W WarmDim Børstet Stål,,,,,Juno,Downlight,Product
3229340,Juno Soft Cob+,Juno Soft Cob+ 10W WarmDim Matt Hvit,,,,,Juno,Downlight,Product
3229342,Juno Soft Cob+,Juno Soft Cob+ 10W WarmDim Matt Sort,,,,,Juno,Downlight,Product
3229372,Juno Soft Cob+,Juno Soft Cob+ 3000 K 10W DALI Matt Hvit,,,,,Juno,Downlight,Product
3229374,Juno Soft Cob+,Juno Soft Cob+ 3000 K 10W DALI Matt Sort,,,,,Juno,Downlight,Product
3225313,Juno Soft Cob+,Juno Soft Cob+ 3000K 10W Matt Hvit,,,,,Juno,Downlight,Product
3225314,Juno Soft Cob+,Juno Soft Cob+ 3000K Matt Sort,,,,,Juno,Downlight,Product
3225312,Juno Soft Cob+,Juno Soft Cob+ LED 10W Børstet Stål,,,,,Juno,Downlight,Product
3225310,Juno Soft Cob+,Juno Soft Cob+ LED 10W Matt Hvit,,,,,Juno,Downlight,Product
3225311,Juno Soft Cob+,Juno Soft Cob+ LED 10W Matt Sort,,,,,Juno,Downlight,Product
3109566,Juno Soft Cob+ Oudoor,Juno Soft COB+ Outdoor LED 10W Matt Sort,,,,,Juno,Downlight,Product
3229347,JUNO SoftPro,Juno SoftPro 18W 3000K Matt Hvit,,,,,Juno,Downlight,Product
3105879,DOT accessories,Koblingsboks Serie IP68 for nedgraving,,,,,,Orientation light,Product
3105864,KON,Kon 2x3W Grafitt,,,,,Kon,Ceiling- and wall luminaire,Product
3105865,KON,Kon 2x3W Hvit,,,,,Kon,Ceiling- and wall luminaire,Product
3229465,KONY 3-Spot,Kony LED 3-spot Matt Hvit,,,,,Kony,Track lighting,Product
3229472,KONY wall,KONY LED USB Vegg Matt Hvit,,,,,Kony,Track lighting,Product
3229473,KONY wall,KONY LED USB Vegg Matt Sort,,,,,Kony,Track lighting,Product
3229470,KONY wall,KONY LED Vegg Matt Hvit,,,,,Kony,Track lighting,Product
3229460,KONY Fixture,Kony Rondell Matt Hvit,,,,,Kony,Track lighting,Product
3105862,KUBE,Kube 2x3W Grafitt,,,,,Kube,Ceiling- and wall luminaire,Product
3105863,KUBE,Kube 2x3W Hvit,,,,,Kube,Ceiling- and wall luminaire,Product
3109755,KUBUS,Kubus 2x5W Hvit,,,,,Tubus,Ceiling- and wall luminaire,Product
3109753,KUBUS,Kubus 2x5W Sort,,,,,Tubus,Ceiling- and wall luminaire,Product
3229480,Led Compact,Led Compact 176 15W Matt Hvit,,,,,LED Compact,Downlight,Product
3229482,Led Compact,Led Compact 202 15W Matt Hvit,,,,,LED Compact,Downlight,Product
3229483,Led Compact,Led Compact 202 24W Matt Hvit,,,,,LED Compact,Downlight,Product
3109273,LED Driver 3W/350mA,LED Driver 3W 350mA IP67,,,,,LED driver,Drivers,Product
6614620,LED Driver W/350mA,LED Driver 9W 350mA IP68,,,,,LED driver,Drivers,Product
